0 0 0 983 0.026 0.126 0.293
1 0 0 675 0.029 0.103 0.186
1 1 0 666 2.607 0.089 0.129
2 0 0 551 0.025 0.266 1.879
2 1 0 927 0.203 0.235 1.667
3 0 0 256 0.022 0.651 3.572
3 1 0 207 0.106 1.429 23.990
4 0 0 364 0.040 0.109 0.167
4 1 0 858 0.062 0.268 2.520
0 0 0 866 0.055 0.123 0.223
1 0 0 591 0.118 0.110 0.244
1 1 0 572 0.035 0.620 13.232
2 0 0 492 0.030 0.572 4.162
2 1 0 837 0.035 0.177 0.484
3 0 0 192 0.075 0.384 3.330
3 1 0 254 0.119 1.025 16.841
4 0 0 429 0.174 0.153 0.354
4 1 0 906 0.066 0.144 0.217
0 0 0 952 0.031 0.109 0.187
1 0 0 618 0.025 0.106 0.137
1 1 0 603 0.072 0.143 0.267
2 0 0 540 0.031 0.168 0.668
2 1 0 891 0.030 0.118 0.237
3 0 0 212 0.127 0.521 1.799
3 1 0 231 0.039 0.601 3.183
4 0 0 233 0.067 0.155 0.268
4 1 0 841 0.050 0.128 0.321
0 0 0 887 0.038 0.119 0.280
1 0 0 586 0.035 0.153 0.763
1 1 0 575 0.029 0.817 19.775
2 0 0 560 0.032 241.879 5468.193
2 1 0 821 0.023 0.132 0.566
3 0 0 212 0.243 0.750 7.094
3 1 0 237 0.109 0.510 1.720
4 0 0 209 0.027 0.152 0.259
4 1 0 838 0.130 0.177 0.425
0 0 0 889 0.025 0.110 0.173
1 0 0 590 0.061 0.414 8.502
1 1 0 579 0.041 0.112 0.181
2 0 0 531 0.028 9.600 138.435
2 1 0 828 0.024 0.206 2.480
3 0 0 206 0.027 0.532 2.442
3 1 0 223 0.097 0.536 2.746
4 0 0 260 0.033 0.299 3.010
4 1 0 836 0.046 0.136 0.287
0 0 0 896 0.028 0.113 0.147
1 0 0 588 0.028 0.114 0.145
1 1 0 583 0.046 0.089 0.171
2 0 0 524 0.059 15.266 416.575
2 1 0 774 0.017 0.150 0.389
3 0 0 242 0.028 0.403 1.499
3 1 0 255 0.230 0.363 1.009
4 0 0 382 0.041 0.191 0.516
4 1 0 852 0.046 0.142 0.264
0 0 0 954 0.036 0.121 0.243
1 0 0 611 0.025 0.108 0.333
1 1 0 641 0.064 0.108 0.216
2 0 0 534 0.041 204.205 4895.237
2 1 0 811 0.047 0.268 0.599
3 0 0 217 0.097 0.467 1.916
3 1 0 194 0.041 0.425 1.249
4 0 0 329 0.030 0.190 1.152
4 1 0 901 0.025 0.397 7.680
0 0 0 834 0.030 0.114 0.316
1 0 0 571 0.059 0.097 0.127
1 1 0 594 0.213 0.206 1.957
2 0 0 529 0.085 28.555 731.136
2 1 0 825 0.024 0.172 0.362
3 0 0 217 0.055 0.850 13.814
3 1 0 221 0.053 0.486 2.281
4 0 0 376 0.023 0.166 0.309
4 1 0 857 0.047 0.289 3.226
0 0 0 948 0.029 0.171 1.157
1 0 0 633 0.030 0.102 0.160
1 1 0 584 0.038 1.005 24.329
2 0 0 549 0.025 1.550 7.896
2 1 0 841 0.026 0.219 0.435
3 0 0 177 0.034 0.473 2.431
3 1 0 225 0.049 1.147 3.496
4 0 0 408 0.024 0.193 0.730
4 1 0 942 0.038 0.121 0.186
0 0 0 958 0.027 0.132 0.177
1 0 0 613 0.036 0.117 0.257
1 1 0 627 0.023 0.110 0.191
2 0 0 580 0.020 0.175 0.556
2 1 0 891 0.021 0.125 0.368
3 0 0 260 0.023 0.715 4.409
3 1 0 287 0.504 0.315 1.067
4 0 0 423 0.030 0.098 0.274
4 1 0 948 0.032 0.206 3.259
0 0 0 1031 0.020 0.270 4.487
1 0 0 704 0.027 0.214 3.717
1 1 0 700 0.024 0.116 0.229
2 0 0 638 0.030 109.083 1857.814
2 1 0 964 0.020 0.134 0.722
3 0 0 279 0.475 0.362 2.342
3 1 0 306 0.024 0.412 1.194
4 0 0 211 0.020 0.084 0.145
4 1 0 1002 0.101 0.164 0.787
0 0 0 1032 0.079 0.143 0.198
1 0 0 688 0.019 0.072 0.093
1 1 0 694 0.350 0.083 0.174
2 0 0 636 0.020 236.633 5675.287
2 1 0 959 0.032 0.121 0.179
3 0 0 307 0.023 0.621 3.059
3 1 0 301 0.021 0.468 1.231
4 0 0 474 0.019 0.125 0.176
